MMV,Make,Model,Variant,Type,Transmission,Fuel Type,Age,No of Owners,Color,Health Score,Price Score,Distance,On Road Price,Current Price,Dep
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,9,2,Silver,4.5,7.2,"34,192",828687,233518,71.8
MazdaClass RX20Triton 1.2,Mazda,Class RX20,Triton 1.2,Hatchback,Manual,Petrol,8,1,White,4.3,8.2,"61,000",712796,274288,61.5
MitsubishiEclipse 1.0LXi CNG (O),Mitsubishi,Eclipse 1.0,LXi CNG (O),Hatchback,Manual,Petrol + CNG,2,1,Silver,9.9,6.6,"8,600",554423,384592,30.6
MazdaTitan1.6 VTVT SX,Mazda,Titan,1.6 VTVT SX,Sedan,Manual,Petrol,6,1,Silver,4.5,7.2,"15,141",1135123,501942,55.8
NissanMaxima1.5 V MT Sunroof,Nissan,Maxima,1.5 V MT Sunroof,Sedan,Manual,Petrol,4,1,Black,8.5,4,"22,000",1149866,989100,14
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,10,2,Red,5,6.4,"38,000",507718,198000,61
MazdaRX20Laputa 1.2 BS-IV,Mazda,RX20,Laputa 1.2 BS-IV,Hatchback,Manual,Petrol,7,1,White,5,4,"36,247",685269,352182,48.6
NissanMaxima1.5 V MT Sunroof,Nissan,Maxima,1.5 V MT Sunroof,Sedan,Manual,Petrol,4,1,Brown,8.3,6.6,"39,000",1149866,763950,33.6
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,diesel,10,2,Black,6.4,6,"85,000",870791,287950,66.9
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,diesel,5,1,Maroon,6.1,3.4,"34,000",1217935,818752,32.8
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,5,1,Blue,4.5,7.1,"24,000",585070,398542,31.9
FordMustang AltisJ,Ford,Mustang Altis,J,Sedan,Manual,Diesel,6,1,White,4.2,6.6,"1,56,000",1741907,464118,73.4
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,8,1,Red,5,5.6,"58,821",806541,324558,59.8
MazdaRX20Laputa 1.2,Mazda,RX20,Laputa 1.2,Hatchback,Manual,Petrol,8,1,White,5,4,"38,000",678359,287950,57.6
NissanMaxima1.5 V MT Sunroof,Nissan,Maxima,1.5 V MT Sunroof,Sedan,Manual,Petrol,3,1,Grey,4.8,5.5,"30,000",1149866,889200,22.7
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,5,1,Silver,3.8,4.8,"55,000",475198,287950,39.4
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,8,1,Silver,6.8,9.9,"48,000",944779,393888,58.3
FordPinto2.5G(diesel)7Seater,Ford,Pinto,2.5G(diesel)7Seater,MUV,Manual,Diesel,7,2,Silver,3.3,5.8,"1,14,000",1609143,665550,58.6
MitsubishiChallengerLXi BS-III,Mitsubishi,Challenger,LXi BS-III,Hatchback,Manual,Petrol,10,2,Red,6.8,5.8,"60,000",342090,140800,58.8
NissanKicks1.8I-vtec,Nissan,Kicks,1.8I-vtec,Hatchback,Manual,Petrol,12,1,White,4.5,7.8,"75,000",1303955,189200,85.5
FordPinto2.5 V 8 STR,Ford,Pinto,2.5 V 8 STR,MUV,Manual,diesel,9,1,Blue,6.1,7.2,"78,120",1322223,739200,44.1
MazdaRX20Laputa 1.2,Mazda,RX20,Laputa 1.2,Hatchback,Manual,Petrol,6,2,White,4.5,7,"20,377",678359,370678,45.4
MazdaTitanFluidic 1.6 VTVT,Mazda,Titan,Fluidic 1.6 VTVT,Sedan,Manual,Petrol,6,1,Silver,4.5,8.2,"21,000",934922,440608,52.9
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,11,2,Golden,4.3,8.2,"83,923",828687,162800,80.4
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,Diesel,7,1,Purple,4.5,5.4,"46,500",1217935,468832,61.5
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,3,1,Brown,4.3,5.3,"22,000",475198,342958,27.8
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,1,Grey,6.4,9.9,"81,355",563323,167200,70.3
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol,6,1,White,5,4,"12,003",490492,278838,43.2
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,10,1,White,6.4,5.4,"80,000",741508,292512,60.6
MazdaDemioTriton + AirBag,Mazda,Demio,Triton + AirBag,Hatchback,Manual,Petrol,3,1,White,9,7.9,"13,000",489922,265200,45.9
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,1,Silver,6.8,9.6,"23,000",563323,171600,69.5
MitsubishiPajeroZDi,Mitsubishi,Pajero,ZDi,Hatchback,Automatic,diesel,4,1,White,5.4,4.6,"35,909",879273,621792,29.3
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,9,1,Beige,9.9,9.9,"43,000",2426682,492462,79.7
MitsubishiA-StarVxi,Mitsubishi,A-Star,Vxi,Hatchback,Manual,Petrol,9,1,Red,5.5,5.8,"44,000",470900,189200,59.8
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,8,1,silver,6.8,5.6,"39,000",944779,445302,52.9
MitsubishiEeco5 STR WITH A/C+HTR CNG,Mitsubishi,Eeco,5 STR WITH A/C+HTR CNG,Van,Manual,Petrol + CNG,6,1,Silver,4.3,4.4,"51,000",503628,269742,46.4
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,7,1,White,5.7,7.8,"78,657",944779,487728,48.4
NissanMaximaZx,Nissan,Maxima,Zx,Sedan,Manual,Petrol,11,1,Grey,6.8,7.6,"45,000",921736,198000,78.5
FordMustangGl,Ford,Mustang,Gl,Sedan,Manual,Petrol,7,1,other,5.7,6.6,"61,344",2070924,626638,69.7
FordFortuner4x2 AT,Ford,Fortuner,4x2 AT,SUV,Automatic,Diesel,5,1,Beige,8.3,6.8,"49,000",2671469,1615000,39.5
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,10,2,White,4.3,7.6,"98,000",870791,256128,70.6
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,5,1,Grey,4.8,5,"42,000",533447,297078,44.3
MitsubishiPajeroLxi1.3,Mitsubishi,Pajero,Lxi1.3,Hatchback,Manual,Petrol,10,1,Silver,8.5,6.6,"18,000",464829,154000,66.9
NissanMicra1.5 S i-DTEC,Nissan,Micra,1.5 S i-DTEC,Sedan,Manual,Diesel,5,1,Maroon,8.3,4.8,"47,000",900907,436574,51.5
MazdaAtenzaExecutive,Mazda,Atenza,Executive,Sedan,Manual,Petrol,8,1,Silver,5,5.3,"51,000",596659,176000,70.5
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,9,1,Silver,6.8,3.8,"42,150",944779,403200,57.3
NissanMaximaVx(o)1.5lI-dtecSunroof,Nissan,Maxima,Vx(o)1.5lI-dtecSunroof,Hatchback,Manual,Diesel,4,1,White,8.5,5.3,"30,000",1497108,903555,39.6
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,5,1,Beige,6.1,4.6,"1,10,000",741508,511438,31
MitsubishiSx4VXI BS-IV,Mitsubishi,Sx4,VXI BS-IV,Sedan,Manual,Petrol,10,1,White,4.5,8.4,"64,000",825224,162800,80.3
MazdaAtenzaGLE,Mazda,Atenza,GLE,Sedan,Manual,Petrol,6,1,Red,6.8,7.6,"27,658",691111,252190,63.5
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,5,1,Grey,3.8,4.6,"59,443",505259,306222,39.4
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,8,1,Grey,4.5,6.2,"40,000",1675849,482998,71.2
MitsubishiSx4VDI,Mitsubishi,Sx4,VDI,Sedan,Manual,Petrol + CNG,10,2,White,5.9,9.3,"6,000",970559,215600,77.8
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,6,1,White,4.8,5,"60,320",870791,449060,48.4
FordPinto2.5G,Ford,Pinto,2.5G,MUV,Manual,Diesel,4,1,Grey,8.1,7.3,"53,000",1585233,1112540,29.8
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,10,1,Grey,6.4,9.6,"68,424",1675849,315382,81.2
MazdaTitanFluidic 1.6 CRDi SX Opt,Mazda,Titan,Fluidic 1.6 CRDi SX Opt,Sedan,Manual,Diesel,5,1,Purple,4.6,9.1,"65,000",1344257,543844,59.5
MitsubishiEclipse 1.0LXi CNG (O),Mitsubishi,Eclipse 1.0,LXi CNG (O),Hatchback,Manual,Petrol + CNG,3,1,Golden,4,7.5,"75,000",554423,333750,39.8
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,9,2,Silver,9.9,6.6,"67,833",828687,242550,70.7
MazdaSpeed Xl,Mazda,Speed ,Xl,Hatchback,Manual,Petrol,11,1,Red,4.5,5.2,"70,000",432991,123200,71.5
MazdaAtenzaExecutive,Mazda,Atenza,Executive,Sedan,Manual,Petrol,10,1,Grey,5,7.2,"35,000",596659,132000,77.9
MazdaTitan1.6 CRDI SX,Mazda,Titan,1.6 CRDI SX,Sedan,Manual,Diesel,4,1,White,8.3,6.9,"38,000",1375438,714550,48
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,6,1,Grey,3.8,6.3,"67,000",475198,265200,44.2
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,9,1,White,5,8.8,"48,000",507718,198000,61
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,5,1,White,6.8,5.4,"11,291",507718,426550,16
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,12,3,Silver,6.4,9.9,"85,000",771954,198000,74.4
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,diesel,7,1,Black,6,9.6,"69,639",1217935,497200,59.2
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,4,1,White,5,7.7,"28,000",944779,636342,32.6
MitsubishiPajero FocusVXi 1.2 BS-IV,Mitsubishi,Pajero Focus,VXi 1.2 BS-IV,Sedan,Manual,Petrol,8,2,Silver,5.2,9.1,"67,000",653057,211200,67.7
MitsubishiEclipseLXi Minor,Mitsubishi,Eclipse,LXi Minor,Hatchback,Manual,Petrol,11,1,Black,4.5,9.9,"71,000",412035,123200,70.1
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,9,1,Silver,6.4,5.2,"74,285",475198,198000,58.3
MazdaNeo Fluidic Runner1.6SxMtCrdi,Mazda,Neo Fluidic Runner,1.6SxMtCrdi,Sedan,Manual,Diesel,4,1,Black,4.4,6.7,"72,000",1912673,980247,48.7
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,9,1,Silver,6.7,6.4,"60,000",741508,265200,64.2
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,8,1,Grey,5.7,6.4,"75,000",585070,260662,55.4
MazdaDemioTriton,Mazda,Demio,Triton,Hatchback,Manual,Petrol,6,1,Blue,5,6.3,"29,000",388154,198000,49
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,diesel,9,1,White,6.1,9.9,"83,000",806541,251598,68.8
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,10,1,Silver,7,3.8,"51,000",828687,287950,65.3
MazdaClass RX20Laputa 1.2 (O),Mazda,Class RX20,Laputa 1.2 (O),Hatchback,Manual,Petrol,2,1,Maroon,8.4,6.4,"20,000",779764,568750,27.1
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,CNG,6,5,Grey,4.3,8.5,"45,000",533447,233518,56.2
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,3,1,White,9.5,6.6,"34,000",741508,520950,29.7
NissanMaximaV MT AVN,Nissan,Maxima,V MT AVN,Sedan,Manual,Petrol,6,1,Red,4,9.9,"56,000",1142953,412528,63.9
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,2,White,6.4,9.6,"75,000",837628,220000,73.7
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,3,1,White,5,5.7,"15,000",870791,621792,28.6
MazdaRX20G5 1.4 (AT),Mazda,RX20,G5 1.4 (AT),Hatchback,Automatic,Petrol,8,1,White,4.5,5.4,"42,000",893729,370678,58.5
MazdaB seriesGVS,Mazda,B series,GVS,Hatchback,Manual,Petrol,12,4,Red,5,9.4,"55,320",503680,51920,89.7
MitsubishiChallengerLX BS-IV,Mitsubishi,Challenger,LX BS-IV,Hatchback,Manual,Petrol,8,1,Silver,4.5,8.2,"18,800",320206,194480,39.3
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Manual,Diesel,9,2,White,4.3,7,"74,000",651184,233518,64.1
MazdaSpeed Xo,Mazda,Speed ,Xo,Hatchback,Manual,Petrol,12,2,Black,4.5,7,"73,000",453719,118800,73.8
MazdaRX10Laputa 1.2 AT,Mazda,RX10,Laputa 1.2 AT,Hatchback,Automatic,Petrol,8,1,Golden,4.5,6.6,"38,232",581615,287950,50.5
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,1,Black,9.9,7.3,"76,000",837628,193600,76.9
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,9,1,gold,6.4,9.9,"62,000",1139496,366974,67.8
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,7,1,White,5.7,9,"62,000",996627,455643,54.3
MazdaTitan1.6 CRDI SX,Mazda,Titan,1.6 CRDI SX,Sedan,Manual,Diesel,5,1,Purple,3.5,7.2,"65,000",1375438,616950,55.1
MitsubishiPajero FocusLDi,Mitsubishi,Pajero Focus,LDi,Sedan,Manual,diesel,7,1,Silver,4.3,5.4,"45,104",768774,356800,53.6
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,12,2,Silver,5,9.4,"65,000",837628,110000,86.9
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,6,1,Bronze,9.7,8.6,"29,500",1139496,511438,55.1
NissanMaximaZx,Nissan,Maxima,Zx,Sedan,Manual,Petrol,10,2,Grey,3.8,4.2,"1,19,000",921736,265200,71.2
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,CNG,10,2,Beige,4.3,8,"82,575",750204,172040,77.1
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,CNG,10,1,Grey,4.3,8.6,"73,000",750204,189200,74.8
MitsubishiA-StarZxi,Mitsubishi,A-Star,Zxi,Hatchback,Manual,Petrol,8,1,Silver,6.4,5.2,"60,216",500982,233518,53.4
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,9,1,other,6.4,7,"68,000",870791,342958,60.6
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,1,Black,4.8,7.5,"69,000",1525510,379950,75.1
FordPinto2.5 VX 8 STR BS-IV,Ford,Pinto,2.5 VX 8 STR BS-IV,MUV,Manual,diesel,8,1,Silver,5,7,"1,08,239",1531436,823758,46.2
MitsubishiPajeroZXi,Mitsubishi,Pajero,ZXi,Hatchback,Manual,Petrol,4,1,White,3.8,8.3,"41,000",598134,431232,27.9
MitsubishiEeco7 STR,Mitsubishi,Eeco,7 STR,Van,Automatic,Petrol,4,1,Grey,5.4,7.2,"35,000",424691,287950,32.2
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,7,3,Brown,9.5,9.4,"74,000",1139496,366048,67.9
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol,11,1,Pink,5,4.2,"55,000",394409,118800,69.9
MitsubishiCelerioVxi AMT,Mitsubishi,Celerio,Vxi AMT,Hatchback,Automated Manual Transmission,Petrol,4,1,White,5,6.8,"30,000",586090,319968,45.4
MazdaAccioSX (O),Mazda,Accio,SX (O),Sedan,Manual,Petrol,3,1,Polar White,8.3,4.6,"25,000",883038,592800,32.9
MazdaDemioTriton,Mazda,Demio,Triton,Hatchback,Manual,Petrol,6,1,other,6.8,4.2,"16,921",388154,278838,28.2
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,9,1,Blue,5,6.8,"55,253",741508,301648,59.3
MazdaRX20Laputa1.4Crdi6SpeedBs-iv,Mazda,RX20,Laputa1.4Crdi6SpeedBs-iv,Hatchback,Manual,diesel,8,1,White,6.8,6.4,"37,477",736912,324558,56
MazdaB seriesGL,Mazda,B series,GL,Hatchback,Manual,Petrol,10,2,Silver,6.4,3.4,"78,994",367675,256128,30.3
MazdaNeo2 WD,Mazda,Neo,2 WD,SUV,Manual,diesel,5,1,Silver,3.8,8.4,"52,000",3156322,1306250,58.6
MitsubishiCiazVDi +,Mitsubishi,Ciaz,VDi +,Sedan,Manual,Diesel,3,1,White,9.8,7.2,"47,500",979488,788800,19.5
FordEdge LivaVX,Ford,Edge Liva,VX,Hatchback,Manual,Petrol,7,1,Silver,4.8,4.2,"58,123",746719,297078,60.2
MazdaTitanFluidic 1.6 CRDi SX Opt AT,Mazda,Titan,Fluidic 1.6 CRDi SX Opt AT,Sedan,Automatic,Diesel,5,1,Purple,4.8,8.9,"52,253",1431253,543844,62
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,11,1,Maroon,5,4.5,"84,444",505259,149600,70.4
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,9,1,Silver,4.5,9.9,"50,000",507718,198000,61
NissanMaximaVX (O) MT,Nissan,Maxima,VX (O) MT,Sedan,Manual,Petrol,3,1,Red,9.7,7,"23,000",1331847,853878,35.9
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,7,1,White,6.4,3.4,"45,314",870791,473550,45.6
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,Petrol,9,1,other,6.8,4.2,"43,245",750204,333750,55.5
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,Petrol,10,2,Red,5,9.4,"61,000",750204,154000,79.5
MazdaGrand RX10Laputa 1.2 Grind VTVT,Mazda,Grand RX10,Laputa 1.2 Grind VTVT,Hatchback,Manual,Petrol,2,1,Blue,3.5,5.3,"18,000",647262,492462,23.9
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,9,2,gold,6.4,8.2,"69,737",2426682,641200,73.6
MitsubishiPajeroLXi,Mitsubishi,Pajero,LXi,Hatchback,Manual,Petrol,3,1,Grey,4.2,5.9,"60,000",463670,402268,13.2
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,6,1,White,5,6.3,"44,000",585070,278838,52.3
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,6,1,Brown,4,5.3,"58,000",2426682,889200,63.4
NissanKicks1.8S AT,Nissan,Kicks,1.8S AT,Sedan,Automatic,Petrol,11,1,Maroon,4.5,9.9,"70,500",1343469,247072,81.6
MitsubishiPajeroLDi,Mitsubishi,Pajero,LDi,Hatchback,Manual,diesel,9,1,Grey,6.4,3.8,"68,000",566633,310800,45.1
FordMustang Altis1.8v,Ford,Mustang Altis,1.8v,Sedan,Manual,Petrol,9,1,other,6.4,9.9,"64,000",1767000,445302,74.8
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,12,2,Red,4.5,6.3,"47,000",505259,145200,71.3
MitsubishiChallenger K10LXi,Mitsubishi,Challenger K10,LXi,Hatchback,Manual,Petrol,8,1,Maroon,5,9.1,"32,000",417260,132000,68.4
MitsubishiCelerioVxi AMT,Mitsubishi,Celerio,Vxi AMT,Hatchback,Automated Manual Transmission,Petrol,3,1,White,8.5,6.6,"12,000",586090,372624,36.4
MazdaRX20Laputa 1.2 BS-IV,Mazda,RX20,Laputa 1.2 BS-IV,Hatchback,Manual,Petrol,7,1,Grey,6.4,4.2,"45,204",685269,450000,34.3
FordMustang Altis1.8 J,Ford,Mustang Altis,1.8 J,Sedan,Manual,Petrol,2,1,Black,8.3,6.6,"17,000",1352344,964525,28.7
MitsubishiEstiloVXi,Mitsubishi,Estilo,VXi,Hatchback,Manual,Petrol,11,1,Black,9.9,7.4,"1,11,000",424393,118800,72
FordPinto2.5 VX 8 STR BS-IV,Ford,Pinto,2.5 VX 8 STR BS-IV,MUV,Manual,Diesel,6,1,Grey,4.4,8.7,"1,00,204",1531436,989100,35.4
MitsubishiSx4ZxiLeather,Mitsubishi,Sx4,ZxiLeather,Sedan,Manual,Petrol,11,2,Black,6.4,4.8,"82,000",698267,202400,71
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,7,2,Grey,5,4,"51,000",533447,242550,54.5
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,12,1,White,6.4,9.2,"94,000",771954,198000,74.4
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,1,Silver,6.8,8.8,"58,000",563323,193600,65.6
MazdaRunnerGLS,Mazda,Runner,GLS,Sedan,Manual,Petrol,12,2,Silver,9,9.4,"45,685",950839,88000,90.7
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,1,Red,6.8,5.2,"63,000",563323,176000,68.8
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Manual,diesel,8,1,Red,6,6,"78,000",651184,306222,53
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,10,1,White,6.8,6.6,"36,000",462988,215600,53.4
MazdaDemioLaputa,Mazda,Demio,Laputa,Hatchback,Manual,Petrol,6,1,White,5,7.1,"23,944",510953,189200,63
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,8,2,White,4.5,4.4,"40,000",505259,283392,43.9
MitsubishiPajeroLdi[2007-2011],Mitsubishi,Pajero,Ldi[2007-2011],Hatchback,Manual,diesel,11,1,White,6.4,5.8,"90,000",702718,242550,65.5
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,5,1,White,4.8,5.2,"53,332",870791,497200,42.9
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,4,1,Red,9,8.8,"33,256",996627,627026,37.1
MazdaGrand RX10Triton,Mazda,Grand RX10,Triton,Hatchback,Manual,Petrol,6,1,Golden,3.5,8.2,"81,000",591384,184800,68.8
MazdaRX10Era 1.1 iRDE2,Mazda,RX10,Era 1.1 iRDE2,Hatchback,Manual,Petrol,10,1,Maroon,4.7,7.7,"86,000",504450,127600,74.7
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,8,1,Blue,9.7,4.2,"31,000",828687,260662,68.5
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,8,1,White,6.4,4.6,"57,500",870791,592800,31.9
MitsubishiPajero FocusLXi,Mitsubishi,Pajero Focus,LXi,Sedan,Manual,Petrol,5,1,Silver,5.7,5.8,"45,000",641315,497200,22.5
MazdaRX10G51.2AtGrind2,Mazda,RX10,G51.2AtGrind2,Hatchback,Automatic,Petrol,7,1,White,4.5,5.6,"10,046",712790,356800,49.9
FordCamryW1 MT,Ford,Camry,W1 MT,Sedan,Manual,Petrol,12,1,Black,3.8,9.9,"1,68,000",2558700,347568,86.4
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Automatic,diesel,10,1,Red,6.4,9.9,"65,000",806541,242550,69.9
FordMustang Altis1.8 VL AT,Ford,Mustang Altis,1.8 VL AT,Sedan,Automatic,Petrol,4,2,Blue,4.3,6.6,"31,000",1817654,1330000,26.8
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,9,2,Maroon,4.5,7.2,"55,050",585070,242550,58.5
FordFortuner3.0 4x4 AT,Ford,Fortuner,3.0 4x4 AT,SUV,Automatic,Diesel,3,1,White,4.8,6.1,"36,000",3354590,2374050,29.2
MazdaAccioBase 1.1 CRDi,Mazda,Accio,Base 1.1 CRDi,Sedan,Manual,Diesel,3,1,Silver,9.3,7.2,"55,000",717230,506688,29.4
NissanKicks1.8V MT,Nissan,Kicks,1.8V MT,Sedan,Manual,Petrol,9,1,White,5.5,7.6,"49,000",1585200,379950,76
NissanMaxima1.5EMtI-vtec,Nissan,Maxima,1.5EMtI-vtec,MUV,Manual,Petrol,9,1,White,5.3,9.7,"64,514",930953,310800,66.6
MitsubishiEclipse 1.0LXi CNG (O),Mitsubishi,Eclipse 1.0,LXi CNG (O),Hatchback,Manual,Petrol + CNG,2,1,Red,9.8,9.9,"65,000",554423,319968,42.3
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,8,1,Black,5.7,4.2,"74,140",563323,379950,32.6
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,3,1,White,8.1,7.4,"41,000",870791,525426,39.7
FordPinto2.5G,Ford,Pinto,2.5G,MUV,Manual,diesel,10,1,other,6.4,6,"70,000",1585233,592800,62.6
MazdaSpeed GL,Mazda,Speed ,GL,Hatchback,Manual,Petrol,11,1,Maroon,4.5,7.8,"49,500",404202,132000,67.3
MazdaRX10Laputa 1.2 AT Grind2,Mazda,RX10,Laputa 1.2 AT Grind2,Hatchback,Automatic,Petrol,7,1,Black,5,6.8,"27,000",610408,275198,54.9
NissanKicks1.8V AT Sunroof,Nissan,Kicks,1.8V AT Sunroof,Sedan,Automatic,Petrol,11,1,Black,8.5,7.8,"50,540",1730471,242550,86
FordPinto2.5 V 8 STR,Ford,Pinto,2.5 V 8 STR,MUV,Manual,Diesel,10,2,Black,3.8,8.9,"1,17,000",1322223,540022,59.2
NissanKicks1.8V AT Sunroof,Nissan,Kicks,1.8V AT Sunroof,Sedan,Automatic,Petrol,6,1,Other,9.7,9,"24,387",1730471,499096,71.2
